,number,value,datetime_start,datetime_complete,duration,params_clipnorm,params_dropout_rate,params_lr,params_n_layers,params_n_units,params_weight_decay,state
106,106,1.0716825723648071,2023-06-21 14:59:12.095804,2023-06-21 15:02:29.309267,0 days 00:03:17.213463,,0.25,0.0013609071954152957,13,160,0.001,COMPLETE
71,71,1.0716933012008667,2023-06-21 13:38:20.410870,2023-06-21 13:39:32.441577,0 days 00:01:12.030707,,0.3,0.0008089364117509698,8,114,0.0,COMPLETE
77,77,1.0716949701309204,2023-06-21 13:51:07.698709,2023-06-21 13:52:59.610755,0 days 00:01:51.912046,,0.15,0.0002769642447335106,6,149,0.001,COMPLETE
44,44,1.07172429561615,2023-06-21 13:03:44.224747,2023-06-21 13:04:21.204148,0 days 00:00:36.979401,,0.3,0.000632576713794537,8,110,0.0,COMPLETE
25,25,1.0717405080795288,2023-06-21 12:47:50.492718,2023-06-21 12:48:02.826921,0 days 00:00:12.334203,,0.25,0.002426312077996238,6,131,1e-05,COMPLETE
42,42,1.071770429611206,2023-06-21 13:02:59.799457,2023-06-21 13:03:30.502814,0 days 00:00:30.703357,,0.25,0.002934725251701771,7,106,0.0,COMPLETE
76,76,1.0717815160751343,2023-06-21 13:49:58.107955,2023-06-21 13:51:07.696175,0 days 00:01:09.588220,,0.2,0.0018935731008594605,8,109,0.0,COMPLETE
41,41,1.0717862844467163,2023-06-21 13:02:35.824263,2023-06-21 13:02:59.796940,0 days 00:00:23.972677,,0.25,0.001756596928013014,7,130,1e-05,COMPLETE
22,22,1.071806788444519,2023-06-21 12:47:04.887358,2023-06-21 12:47:23.057764,0 days 00:00:18.170406,,0.25,0.0016852994384693835,7,126,1e-05,COMPLETE
26,26,1.0718289613723755,2023-06-21 12:48:02.827902,2023-06-21 12:48:15.313028,0 days 00:00:12.485126,,0.25,0.00244089974509673,5,50,1e-05,COMPLETE
72,72,1.0718876123428345,2023-06-21 13:39:32.444351,2023-06-21 13:40:45.679691,0 days 00:01:13.235340,,0.3,0.0009555897060676815,8,87,0.0,COMPLETE
97,97,1.0718953609466553,2023-06-21 14:33:29.612129,2023-06-21 14:36:42.196058,0 days 00:03:12.583929,,0.3,0.0003655377106324687,9,95,0.001,COMPLETE
46,46,1.0719106197357178,2023-06-21 13:05:08.458851,2023-06-21 13:05:45.668503,0 days 00:00:37.209652,,0.3,0.0011433589288374815,9,147,1e-06,COMPLETE
47,47,1.0719268321990967,2023-06-21 13:05:45.670684,2023-06-21 13:06:49.648548,0 days 00:01:03.977864,,0.3,0.0003920481563816066,8,113,1e-08,COMPLETE
48,48,1.07193922996521,2023-06-21 13:06:49.650685,2023-06-21 13:07:24.700965,0 days 00:00:35.050280,10.0,0.15,0.004733825780731685,5,98,0.0,COMPLETE
110,110,1.0720891952514648,2023-06-21 15:15:52.673792,2023-06-21 15:19:28.706615,0 days 00:03:36.032823,,0.25,0.0014734771969930939,14,138,0.001,COMPLETE
66,66,1.0721065998077393,2023-06-21 13:24:29.951083,2023-06-21 13:25:42.302226,0 days 00:01:12.351143,,0.3,0.0003060396902986928,7,142,0.0,COMPLETE
80,80,1.0721217393875122,2023-06-21 14:03:14.767880,2023-06-21 14:06:31.331444,0 days 00:03:16.563564,,0.3,0.00011058300798295343,6,84,1e-09,COMPLETE
27,27,1.0721309185028076,2023-06-21 12:48:15.317170,2023-06-21 12:48:29.767113,0 days 00:00:14.449943,,0.25,0.0010237014062725504,7,98,1e-05,COMPLETE
57,57,1.072179913520813,2023-06-21 13:15:53.765229,2023-06-21 13:16:36.555221,0 days 00:00:42.789992,,0.3,0.000430020655199446,9,171,0.0,COMPLETE
69,69,1.0721815824508667,2023-06-21 13:33:57.886126,2023-06-21 13:36:27.055977,0 days 00:02:29.169851,,0.3,0.0008652542204107509,20,131,0.0,COMPLETE
33,33,1.072251558303833,2023-06-21 12:53:41.015459,2023-06-21 12:54:28.516770,0 days 00:00:47.501311,,0.35,0.0008094822451285454,6,52,1e-05,COMPLETE
45,45,1.072280764579773,2023-06-21 13:04:21.206516,2023-06-21 13:05:08.456608,0 days 00:00:47.250092,,0.3,0.0006997565836212227,10,167,0.0,COMPLETE
109,109,1.0723247528076172,2023-06-21 15:12:18.499693,2023-06-21 15:15:52.670760,0 days 00:03:34.171067,,0.25,0.003008664233873209,12,143,0.001,COMPLETE
83,83,1.072339653968811,2023-06-21 14:08:56.982769,2023-06-21 14:10:14.217918,0 days 00:01:17.235149,,0.3,0.0006373900506023508,8,109,1e-06,COMPLETE
55,55,1.0723762512207031,2023-06-21 13:13:42.605062,2023-06-21 13:14:31.316617,0 days 00:00:48.711555,,0.3,0.0012291537284295818,9,101,0.0,COMPLETE
34,34,1.0724126100540161,2023-06-21 12:54:28.518717,2023-06-21 12:54:50.312338,0 days 00:00:21.793621,,0.35,0.004010668551589641,5,80,0.0001,COMPLETE
81,81,1.0724127292633057,2023-06-21 14:06:31.333881,2023-06-21 14:07:44.096504,0 days 00:01:12.762623,,0.3,0.0038743141740886504,7,122,1e-06,COMPLETE
107,107,1.0724514722824097,2023-06-21 15:02:29.311612,2023-06-21 15:04:55.537295,0 days 00:02:26.225683,,0.25,0.0018684668340032103,12,167,0.001,COMPLETE
108,108,1.0724694728851318,2023-06-21 15:04:55.539793,2023-06-21 15:12:18.496839,0 days 00:07:22.957046,,0.25,0.004786485037756312,11,153,0.001,COMPLETE
53,53,1.0724910497665405,2023-06-21 13:11:56.890060,2023-06-21 13:12:55.046813,0 days 00:00:58.156753,,0.3,0.00032219996471336584,10,141,0.0,COMPLETE
103,103,1.0725796222686768,2023-06-21 14:50:55.295502,2023-06-21 14:53:10.122305,0 days 00:02:14.826803,,0.25,0.0032268868940222174,11,146,0.001,COMPLETE
31,31,1.0726102590560913,2023-06-21 12:52:25.011764,2023-06-21 12:53:09.840191,0 days 00:00:44.828427,,0.25,0.00021717897245086324,7,135,1e-05,COMPLETE
92,92,1.0727180242538452,2023-06-21 14:23:21.959534,2023-06-21 14:24:42.674876,0 days 00:01:20.715342,,0.1,0.003464445142681172,6,111,0.0,COMPLETE
7,7,1.0727416276931763,2023-06-21 12:41:36.419623,2023-06-21 12:41:55.637730,0 days 00:00:19.218107,0.01,0.4,0.0013715985299484138,8,229,0.001,COMPLETE
89,89,1.0727547407150269,2023-06-21 14:16:41.346915,2023-06-21 14:17:37.136445,0 days 00:00:55.789530,,0.1,0.0015696680715661185,5,76,1e-08,COMPLETE
78,78,1.072880506515503,2023-06-21 13:52:59.614206,2023-06-21 13:54:51.304690,0 days 00:01:51.690484,,0.3,0.001322918170767677,16,99,1e-07,COMPLETE
38,38,1.0728986263275146,2023-06-21 12:58:55.523206,2023-06-21 13:00:36.627454,0 days 00:01:41.104248,,0.1,0.0002372163518398898,16,42,0.0001,COMPLETE
28,28,1.072923183441162,2023-06-21 12:48:29.771320,2023-06-21 12:48:44.090298,0 days 00:00:14.318978,,0.25,0.0035006161967059187,6,138,1e-05,COMPLETE
43,43,1.0729292631149292,2023-06-21 13:03:30.504999,2023-06-21 13:03:44.220196,0 days 00:00:13.715197,,0.1,0.002790193233785748,6,82,0.0,COMPLETE
16,16,1.0730204582214355,2023-06-21 12:44:25.706993,2023-06-21 12:45:22.160914,0 days 00:00:56.453921,,0.25,0.00014348765289817625,8,117,0.001,COMPLETE
100,100,1.0730690956115723,2023-06-21 14:40:17.770691,2023-06-21 14:44:28.566634,0 days 00:04:10.795943,,0.25,0.005809121678617972,10,153,0.001,COMPLETE
12,12,1.0732380151748657,2023-06-21 12:43:06.635352,2023-06-21 12:43:35.880924,0 days 00:00:29.245572,0.1,0.25,0.0005348297767964173,9,121,1e-09,COMPLETE
93,93,1.0732516050338745,2023-06-21 14:24:42.677317,2023-06-21 14:25:56.542040,0 days 00:01:13.864723,,0.2,0.0007161572907097388,5,239,1e-08,COMPLETE
17,17,1.073367714881897,2023-06-21 12:45:22.163481,2023-06-21 12:46:11.735346,0 days 00:00:49.571865,,0.2,7.333788251091539e-05,7,255,0.001,COMPLETE
49,49,1.0734361410140991,2023-06-21 13:07:24.703131,2023-06-21 13:09:08.592591,0 days 00:01:43.889460,,0.2,0.00012934776308197947,8,79,1e-07,COMPLETE
39,39,1.0737316608428955,2023-06-21 13:00:36.629764,2023-06-21 13:00:58.822978,0 days 00:00:22.193214,,0.15,0.008861776950934657,6,72,1e-05,COMPLETE
86,86,1.073874831199646,2023-06-21 14:12:30.715596,2023-06-21 14:14:43.109559,0 days 00:02:12.393963,,0.4,0.00042927352489132727,6,93,0.0,COMPLETE
36,36,1.0738890171051025,2023-06-21 12:56:27.693150,2023-06-21 12:57:09.426711,0 days 00:00:41.733561,,0.35,0.0015708742204485644,10,60,1e-05,COMPLETE
52,52,1.0739541053771973,2023-06-21 13:10:46.914606,2023-06-21 13:11:56.887862,0 days 00:01:09.973256,,0.3,0.0005306480457345551,11,124,0.0,COMPLETE
91,91,1.0740609169006348,2023-06-21 14:21:52.327757,2023-06-21 14:23:21.956984,0 days 00:01:29.629227,,0.1,0.002498013254431885,7,121,1e-08,COMPLETE
11,11,1.0743156671524048,2023-06-21 12:42:43.051580,2023-06-21 12:43:06.633063,0 days 00:00:23.581483,0.1,0.3,0.0003918658782630736,5,144,1e-07,COMPLETE
60,60,1.0743523836135864,2023-06-21 13:18:06.193055,2023-06-21 13:19:15.682731,0 days 00:01:09.489676,,0.1,8.271012366806086e-05,10,186,0.0001,COMPLETE
